split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Spring,1,3,10.06,5,Blue,sup,Zeyzal,Evil Geniuses,Braum,Ornn,Syndra,Nocturne,Olaf,Cassiopeia,1664,1,0,1,11,12,6,0,0,0,0,0,0,0,0,0.4327,0.649,5560,200.4808,0.0983462,374.5673,550.1683,37,1.3341,10,0.3606,10,66,2.3798,7108,3438,123.9663,0.113497,6000,38,38,0,0,0,1.3702,2209,2786,12,2005,2416,11,204,370,1,3530,4115,28,3128,3759,18,402,356,10
Spring,1,4,10.06,6,Red,top,Kumo,Evil Geniuses,Poppy,Senna,Aphelios,Ornn,Nocturne,Syndra,1863,0,3,3,3,10,22,0,0,0,0,0,0,0,0,0.3221,1.0306,14431,464.7665,0.221053,714.3317,1581.4815,16,0.5153,4,0.1288,6,22,0.7085,10387,6311,203.2528,0.227227,9470,218,210,8,8,0,7.0209,3129,4422,71,3593,4773,88,-464,-351,-17,4598,6516,106,5826,7518,147,-1228,-1002,-41
Spring,1,4,10.06,7,Red,jng,Svenskeren,Evil Geniuses,Gragas,Senna,Aphelios,Ornn,Nocturne,Syndra,1863,0,4,4,4,10,22,0,0,0,0,0,0,0,0,0.3221,1.0306,12460,401.2882,0.190861,882.8341,499.1304,18,0.5797,8,0.2576,6,44,1.4171,9663,5587,179.9356,0.201159,9200,151,29,122,93,9,4.8631,3064,3124,53,3437,4025,82,-373,-901,-29,5568,5754,93,5994,5808,108,-426,-54,-15
Spring,1,4,10.06,8,Red,mid,Jiizuke,Evil Geniuses,Ekko,Senna,Aphelios,Ornn,Nocturne,Syndra,1863,0,1,3,5,10,22,0,0,0,0,1,1,0,0,0.3221,1.0306,16348,526.5056,0.250417,765.7327,456.2319,12,0.3865,2,0.0644,3,25,0.8052,10912,6836,220.161,0.24613,10425,240,228,12,9,0,7.7295,3388,4891,70,3133,4851,76,255,40,-6,5186,7482,119,4963,7325,119,223,157,0
Spring,1,4,10.06,9,Red,bot,Bang,Evil Geniuses,Ashe,Senna,Aphelios,Ornn,Nocturne,Syndra,1863,0,2,4,5,10,22,0,0,0,0,0,0,0,0,0.3221,1.0306,17329,558.0998,0.265444,471.6908,472.5604,17,0.5475,7,0.2254,9,44,1.4171,11274,7198,231.8196,0.259165,10925,246,229,17,11,0,7.9227,3203,3492,84,3573,3339,93,-370,153,-9,4821,5201,115,6563,5886,151,-1742,-685,-36
Spring,1,4,10.06,10,Red,sup,Zeyzal,Evil Geniuses,Tahm Kench,Senna,Aphelios,Ornn,Nocturne,Syndra,1863,0,0,8,6,10,22,0,0,0,0,0,0,0,0,0.3221,1.0306,4715,151.8519,0.072224,710.0805,873.1401,41,1.3205,6,0.1932,16,61,1.9646,5918,1842,59.3237,0.0663181,5725,28,28,0,0,0,0.9018,2012,2104,13,2181,2554,13,-169,-450,0,2843,3145,17,3818,4233,21,-975,-1088,-4
Spring,0,1,10.03,1,Blue,top,Kumo,Evil Geniuses,Renekton,Soraka,Nautilus,Xayah,Syndra,Leona,2066,1,2,0,4,12,4,0,0,0,0,0,0,0,0,0.3485,0.4647,13832,401.7038,0.203943,841.9748,807.0958,21,0.6099,3,0.0871,10,38,1.1036,14167,9677,281.0358,0.237089,12750,322,307,15,4,4,9.3514,3051,4266,77,3159,4614,81,-108,-348,-4,4990,7433,141,4729,7267,129,261,166,12
Spring,0,1,10.03,2,Blue,jng,Svenskeren,Evil Geniuses,Lee Sin,Soraka,Nautilus,Xayah,Syndra,Leona,2066,1,1,0,9,12,4,0,0,0,0,0,0,0,0,0.3485,0.4647,6127,177.938,0.0903381,775.9923,884.0561,17,0.4937,15,0.4356,7,59,1.7135,10514,6024,174.9468,0.147588,7400,162,29,133,72,24,4.7047,2709,2787,52,3092,3073,45,-383,-286,7,4319,4292,78,4431,4889,73,-112,-597,5
Spring,0,1,10.03,3,Blue,mid,Jiizuke,Evil Geniuses,LeBlanc,Soraka,Nautilus,Xayah,Syndra,Leona,2066,1,6,3,2,12,4,2,0,0,0,1,1,0,0,0.3485,0.4647,18439,535.4985,0.271869,429.6418,235.9632,18,0.5227,13,0.3775,10,49,1.423,14543,10053,291.9555,0.246302,13050,294,256,38,24,7,8.5382,3685,4459,75,3290,4459,80,395,0,-5,5606,7643,133,5059,7101,133,547,542,0
Spring,0,1,10.03,4,Blue,bot,Bang,Evil Geniuses,Lucian,Soraka,Nautilus,Xayah,Syndra,Leona,2066,1,0,1,5,12,4,0,0,0,0,1,0,1,0,0.3485,0.4647,13354,387.8219,0.196895,525.5663,301.0745,20,0.5808,22,0.6389,9,60,1.7425,14848,10358,300.8132,0.253775,13575,359,327,32,24,4,10.4259,3479,3057,85,2899,2760,66,580,297,19,5677,5200,139,4602,4950,114,1075,250,25
