split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.13,10,Red,sup,aphromoo,Dignitas,Karma,Varus,Olaf,Thresh,Lee Sin,Bard,1985,0,1,5,7,10,21,0,0,0,0,0,0,0,0,0.3023,0.937,0,0,5175,156.4232,0.0876851,349.4207,276.3929,34,1.0277,10,0.3023,14,69,2.0856,7519,3194,96.5441,0.104735,6750,13,13,0,0,0,0.3929,2329,2590,1,2052,2561,13,277,29,-12,3344,3821,5,3483,3849,19,-139,-28,-14
Spring,0,1,10.03,5,Blue,sup,aphromoo,Dignitas,Leona,Lee Sin,Sett,Aatrox,Cassiopeia,Syndra,2053,0,0,5,3,4,13,0,0,0,0,0,0,0,1,0.1169,0.4968,0,0,2906,84.9294,0.058337,423.8578,578.8115,39,1.1398,18,0.5261,14,81,2.3673,6834,2370,69.2645,0.0735532,6450,44,44,0,0,0,1.2859,2088,2650,16,2517,2820,13,-429,-170,3,3082,3924,20,3833,4570,25,-751,-646,-5
Summer,0,1,10.13,6,Red,top,Lourlo,Dignitas,Ornn,Ezreal,Varus,Trundle,Urgot,Malphite,1610,1,1,0,11,15,1,0,0,0,0,1,0,1,0,0.559,0.5963,0,0,8235,306.8944,0.171167,567.0932,813.1677,11,0.4099,4,0.1491,3,27,1.0062,9738,6178,230.236,0.188959,9225,189,181,8,0,0,7.0435,3212,4756,75,2765,3759,62,447,997,13,5240,7361,115,4462,5916,99,778,1445,16
Summer,0,1,10.13,7,Red,jng,Dardoch,Dignitas,Graves,Ezreal,Varus,Trundle,Urgot,Malphite,1610,1,4,1,8,15,1,0,0,0,0,1,0,1,0,0.559,0.5963,0,0,9174,341.8882,0.190684,646.9565,357.5776,20,0.7453,6,0.2236,9,45,1.677,9848,6288,234.3354,0.192323,8350,164,30,134,77,16,6.1118,3485,3614,56,2804,3104,56,681,510,0,5271,5989,91,4197,4821,86,1074,1168,5
Summer,0,1,10.13,8,Red,mid,Fenix,Dignitas,Azir,Ezreal,Varus,Trundle,Urgot,Malphite,1610,1,4,0,6,15,1,0,0,0,0,1,1,0,0,0.559,0.5963,1,0,16858,628.2484,0.350398,518.5714,322.3602,10,0.3727,6,0.2236,3,21,0.7826,12162,8602,320.5714,0.263098,10325,276,252,24,24,0,10.2857,3785,4811,89,3337,4797,90,448,14,-1,5702,7739,148,5245,7812,149,457,-73,-1
Summer,0,1,10.13,9,Red,bot,Johnsun,Dignitas,Ashe,Ezreal,Varus,Trundle,Urgot,Malphite,1610,1,6,0,2,15,1,1,0,0,0,0,0,0,0,0.559,0.5963,0,0,11823,440.6087,0.245744,347.6646,118.7702,8,0.2981,6,0.2236,4,29,1.0807,12401,8841,329.4783,0.270408,10425,257,237,20,12,0,9.5776,3480,3161,91,3586,3547,96,-106,-386,-5,5899,5459,137,5197,5383,142,702,76,-5
Summer,0,1,10.13,10,Red,sup,aphromoo,Dignitas,Thresh,Ezreal,Varus,Trundle,Urgot,Malphite,1610,1,0,0,9,15,1,0,0,0,0,0,0,0,0,0.559,0.5963,0,0,2021,75.3168,0.042007,303.6522,315.2795,36,1.3416,9,0.3354,12,57,2.1242,6346,2786,103.8261,0.0852118,5450,31,31,0,0,0,1.1553,2119,2862,12,2148,2352,12,-29,510,0,3274,4074,20,3178,3424,20,96,650,0
Spring,0,1,10.04,1,Blue,top,Huni,Dignitas,Aatrox,Yuumi,Sett,Xayah,Gangplank,Rek'Sai,2231,0,2,3,7,15,12,0,0,0,0,1,0,1,0,0.4034,0.7261,0,1,16714,449.5025,0.235249,989.9866,1068.6508,15,0.4034,2,0.0538,7,32,0.8606,14288,9461,254.442,0.23145,13645,292,274,18,7,8,7.853,3390,3811,58,2982,4224,68,408,-413,-10,4753,5866,93,5123,7489,132,-370,-1623,-39
Spring,0,1,10.04,2,Blue,jng,Akaadian,Dignitas,Lee Sin,Yuumi,Sett,Xayah,Gangplank,Rek'Sai,2231,0,7,2,3,15,12,2,0,0,0,1,1,0,0,0.4034,0.7261,0,1,15801,424.9485,0.222399,913.662,1054.9619,21,0.5648,10,0.2689,13,47,1.264,13981,9154,246.1856,0.22394,11850,191,33,158,72,21,5.1367,4347,3866,66,3156,3120,57,1191,746,9,5515,5239,90,4707,4905,87,808,334,3
Spring,0,1,10.04,3,Blue,mid,Froggen,Dignitas,Zoe,Yuumi,Sett,Xayah,Gangplank,Rek'Sai,2231,0,3,3,7,15,12,0,0,0,0,0,0,0,0,0.4034,0.7261,0,0,21499,578.1892,0.302598,343.9982,153.5634,12,0.3227,13,0.3496,7,42,1.1295,12895,8068,216.9789,0.197373,12425,260,243,17,12,5,6.9924,3245,4607,81,3294,4601,89,-49,6,-8,5297,6367,117,4692,6167,124,605,200,-7
Spring,0,1,10.04,4,Blue,bot,Johnsun,Dignitas,Aphelios,Yuumi,Sett,Xayah,Gangplank,Rek'Sai,2231,0,2,2,6,15,12,0,0,0,0,0,0,0,0,0.4034,0.7261,0,0,13308,357.9023,0.18731,247.0193,408.0592,16,0.4303,17,0.4572,5,48,1.2909,15405,10578,284.4823,0.258775,14775,356,333,23,17,0,9.5742,3660,2801,83,3413,3157,83,247,-356,0,5633,4860,129,5486,4784,112,147,76,17
Summer,0,1,10.12,6,Red,top,Lourlo,Dignitas,Volibear,Varus,Twisted Fate,Aphelios,LeBlanc,Ekko,1737,0,0,2,0,4,8,0,0,0,0,0,0,0,0,0.1382,0.4145,0,0,2629,90.8117,0.0799453,633.7824,642.6943,13,0.4491,2,0.0691,5,28,0.9672,8930,5111,176.5458,0.195009,9028,222,218,4,0,0,7.6684,3205,4924,84,3070,4440,80,135,484,4,4835,7483,132,5053,6916,126,-218,567,6
Summer,0,1,10.12,7,Red,jng,Akaadian,Dignitas,Lee Sin,Varus,Twisted Fate,Aphelios,LeBlanc,Ekko,1737,0,2,3,1,4,8,0,0,0,0,0,0,0,1,0.1382,0.4145,0,0,3994,137.962,0.121454,754.1623,650.8808,10,0.3454,8,0.2763,5,29,1.0017,8761,4942,170.7081,0.188561,8400,164,13,151,104,14,5.6649,2845,2722,56,2690,2816,51,155,-94,5,4436,4716,88,4012,4205,74,424,511,14
Summer,0,1,10.12,8,Red,mid,Froggen,Dignitas,Orianna,Varus,Twisted Fate,Aphelios,LeBlanc,Ekko,1737,0,1,0,3,4,8,0,0,0,0,0,0,0,0,0.1382,0.4145,0,3,16867,582.6252,0.512909,454.0587,293.2642,13,0.4491,6,0.2073,7,20,0.6908,11790,7971,275.3368,0.304134,11275,306,289,17,10,7,10.5699,3461,4608,99,3456,4980,96,5,-372,3,6032,8151,175,5668,8466,169,364,-315,6
Summer,0,1,10.12,9,Red,bot,Johnsun,Dignitas,Kai'Sa,Varus,Twisted Fate,Aphelios,LeBlanc,Ekko,1737,0,1,1,2,4,8,0,0,0,0,0,0,0,0,0.1382,0.4145,0,0,6124,211.5371,0.186225,367.4266,181.8307,14,0.4836,6,0.2073,7,30,1.0363,10428,6609,228.2902,0.252166,9625,264,248,16,13,0,9.1192,3240,3148,87,3430,3492,98,-190,-344,-11,4899,5596,139,5406,5344,157,-507,252,-18
Summer,0,1,10.12,10,Red,sup,aphromoo,Dignitas,Bard,Varus,Twisted Fate,Aphelios,LeBlanc,Ekko,1737,0,0,2,3,4,8,0,0,0,0,0,0,0,0,0.1382,0.4145,0,0,3271,112.9879,0.0994678,434.266,311.4335,46,1.5889,6,0.2073,8,85,2.9361,5395,1576,54.4387,0.0601299,5150,24,24,0,0,0,0.829,2100,2727,12,1984,2647,2,116,80,10,2972,3736,17,2962,4263,2,10,-527,15
