split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.13,1,Blue,top,Impact,Team Liquid,Ornn,Volibear,Ashe,Varus,Sett,Gangplank,2135,1,1,2,9,13,7,0,0,0,0,0,0,0,0,0.3653,0.5621,10191,286.3981,0.190918,850.2857,1174.7073,15,0.4215,4,0.1124,6,25,0.7026,11628,6997,196.637,0.158612,11300,213,213,0,0,0,5.9859,3383,4854,84,3500,4877,82,-117,-23,2,4837,7299,124,5499,138,-662,-345,-14
Summer,0,1,10.13,2,Blue,jng,Broxah,Team Liquid,Lee Sin,Volibear,Ashe,Varus,Sett,Gangplank,2135,1,3,2,6,13,7,0,0,0,0,1,0,1,0,0.3653,0.5621,5285,148.5246,0.099009,727.0258,909.0211,20,0.5621,8,0.2248,11,50,1.4052,12939,8308,233.4801,0.18833,10200,208,27,181,111,12,5.8454,3162,3312,65,3187,3328,64,-25,-16,1,5416,5465,94,5418,106,-2,-613,-12
Summer,0,1,10.13,3,Blue,mid,Jensen,Team Liquid,LeBlanc,Volibear,Ashe,Varus,Sett,Gangplank,2135,1,4,1,5,13,7,0,0,0,0,1,1,0,0,0.3653,0.5621,21340,599.719,0.399783,461.8735,296.178,23,0.6464,11,0.3091,7,55,1.5457,15839,11208,314.9789,0.254069,14975,324,301,23,12,8,9.1054,3639,4565,85,3232,4477,85,407,88,0,5798,7465,140,4943,129,855,468,11
Summer,0,1,10.13,4,Blue,bot,Tactical,Team Liquid,Aphelios,Volibear,Ashe,Varus,Sett,Gangplank,2135,1,5,1,2,13,7,1,0,0,0,0,0,0,0,0.3653,0.5621,13264,372.7588,0.248487,234.7728,461.171,20,0.5621,12,0.3372,7,41,1.1522,17701,13070,367.3068,0.296278,15075,403,334,69,40,18,11.3255,3352,3734,89,3462,3641,99,-110,93,-10,5580,6297,152,5341,158,239,96,-6
Summer,0,1,10.13,5,Blue,sup,CoreJJ,Team Liquid,Bard,Volibear,Ashe,Varus,Sett,Gangplank,2135,1,0,1,11,13,7,0,0,0,0,1,0,1,0,0.3653,0.5621,3299,92.7119,0.0618033,273.3021,235.8689,85,2.3888,23,0.6464,16,150,4.2155,9162,4531,127.3349,0.102711,8050,46,46,0,0,0,1.2927,2313,2531,14,2027,2031,13,286,500,1,3538,3389,20,3116,22,422,-587,-2
Spring,0,1,10.01,1,Blue,top,Impact,Team Liquid,Ornn,Lucian,Qiyana,Aphelios,Irelia,LeBlanc,2368,1,1,0,4,9,4,0,0,0,0,0,0,0,0,0.228,0.3294,13459,341.022,0.255797,696.3091,1048.8851,20,0.5068,8,0.2027,6,46,1.1655,12607,7501,190.0591,0.175215,12150,241,241,0,0,0,6.1064,2768,4130,64,2931,4181,66,-163,-51,-2,4335,6816,110,5121,115,-786,-269,-5
Spring,0,1,10.01,2,Blue,jng,Shernfire,Team Liquid,Jarvan IV,Lucian,Qiyana,Aphelios,Irelia,LeBlanc,2368,1,0,1,7,9,4,0,0,0,0,0,0,0,0,0.228,0.3294,4146,105.0507,0.0787973,661.2416,581.2753,14,0.3547,13,0.3294,13,49,1.2416,11260,6154,155.9291,0.143749,10110,175,14,161,105,8,4.4341,2642,2434,49,3492,2533,53,-850,-99,-4,4284,4430,83,5063,76,-779,543,7
Spring,0,1,10.01,3,Blue,mid,Jensen,Team Liquid,Orianna,Lucian,Qiyana,Aphelios,Irelia,LeBlanc,2368,1,5,0,3,9,4,0,0,0,0,0,0,0,0,0.228,0.3294,19172,485.777,0.364376,287.4324,242.9139,15,0.3801,5,0.1267,8,34,0.8615,17088,11982,303.598,0.279891,15400,383,315,68,37,18,9.7044,3523,4857,101,3389,4884,93,134,-27,8,5820,7788,155,5476,158,344,-468,-3
Spring,0,1,10.01,4,Blue,bot,Doublelift,Team Liquid,Xayah,Lucian,Qiyana,Aphelios,Irelia,LeBlanc,2368,1,3,3,3,9,4,0,0,0,0,0,0,0,1,0.228,0.3294,12661,320.8024,0.24063,322.5,344.2905,15,0.3801,18,0.4561,3,60,1.5203,18585,13479,341.5287,0.314861,15375,436,359,77,37,23,11.0473,3127,2759,81,3197,2938,73,-70,-179,8,5517,4931,135,5197,119,320,109,16
Spring,0,1,10.01,5,Blue,sup,CoreJJ,Team Liquid,Rakan,Lucian,Qiyana,Aphelios,Irelia,LeBlanc,2368,1,0,0,8,9,4,0,0,0,0,0,0,0,0,0.228,0.3294,3178,80.5236,0.0603999,139.3834,308.8682,57,1.4443,18,0.4561,17,126,3.1926,8800,3694,93.598,0.086284,7725,39,39,0,0,0,0.9882,2062,2460,13,2265,2471,14,-203,-11,-1,3423,3744,21,3468,20,-45,482,1
Summer,0,1,10.15,1,Blue,top,Impact,Team Liquid,Shen,Ashe,Caitlyn,Graves,Riven,Kennen,1601,1,2,1,10,13,1,0,0,0,0,0,0,0,0,0.4872,0.5247,11878,445.1468,0.246867,579.1255,1047.5828,13,0.4872,4,0.1499,5,27,1.0119,10996,7454,279.3504,0.202521,9425,248,242,6,0,4,9.2942,3267,5028,87,3321,4864,90,-54,164,-3,5230,8213,143,4895,141,335,691,2
Summer,0,1,10.15,2,Blue,jng,Broxah,Team Liquid,Volibear,Ashe,Caitlyn,Graves,Riven,Kennen,1601,1,0,0,11,13,1,0,0,0,0,1,0,1,0,0.4872,0.5247,5520,206.8707,0.114725,724.8345,962.8107,6,0.2249,9,0.3373,7,35,1.3117,9646,6104,228.757,0.165844,8545,181,14,167,100,12,6.7833,3419,3763,74,3000,3253,60,419,510,14,5209,6129,111,4457,92,752,1070,19
Summer,0,1,10.15,3,Blue,mid,Jensen,Team Liquid,LeBlanc,Ashe,Caitlyn,Graves,Riven,Kennen,1601,1,6,0,6,13,1,1,1,1,0,1,1,0,0,0.4872,0.5247,14997,562.0362,0.311691,279.6127,212.0425,8,0.2998,3,0.1124,3,26,0.9744,12993,9451,354.1911,0.256776,10675,276,259,17,12,1,10.3435,3947,5174,101,2959,4617,76,988,557,25,6341,8614,158,4639,127,1702,1030,31
Summer,0,1,10.15,4,Blue,bot,Tactical,Team Liquid,Ezreal,Ashe,Caitlyn,Graves,Riven,Kennen,1601,1,4,0,3,13,1,1,0,0,0,0,0,0,0,0.4872,0.5247,13630,510.8057,0.28328,278.5259,362.5484,17,0.6371,7,0.2623,7,28,1.0493,13992,10450,391.6302,0.283917,12425,286,262,24,12,12,10.7183,3575,3442,92,3457,3286,99,118,156,-7,6506,5958,151,5240,155,1266,189,-4
Summer,0,1,10.15,5,Blue,sup,CoreJJ,Team Liquid,Braum,Ashe,Caitlyn,Graves,Riven,Kennen,1601,1,1,0,8,13,1,0,0,0,0,0,0,0,0,0.4872,0.5247,2090,78.326,0.0434376,185.4341,326.7208,31,1.1618,16,0.5996,8,72,2.6983,6889,3347,125.4341,0.0909416,6000,37,37,0,0,0,1.3866,2074,2773,14,2019,2569,11,55,204,3,3355,3771,23,3065,20,290,-23,3
Spring,0,1,10.03,1,Blue,top,Impact,Team Liquid,Sett,Rumble,Soraka,Mordekaiser,Elise,Orianna,1889,1,5,0,7,17,4,0,0,0,0,0,0,0,0,0.54,0.667,14975,475.6485,0.241876,584.7856,803.568,14,0.4447,10,0.3176,6,42,1.334,12434,8305,263.7904,0.204976,11533,208,208,0,0,0,6.6067,3849,4633,73,2974,3268,40,875,1365,33,5653,7122,105,4166,58,1487,2642,47
Spring,0,1,10.03,2,Blue,jng,Broxah,Team Liquid,Lee Sin,Rumble,Soraka,Mordekaiser,Elise,Orianna,1889,1,1,1,11,17,4,0,0,0,0,0,0,0,1,0.54,0.667,4234,134.4839,0.0683874,665.8444,793.4992,15,0.4764,5,0.1588,12,30,0.9529,9929,5800,184.2245,0.143149,9025,145,14,131,80,7,4.6056,2944,2837,53,2952,2817,50,-8,20,3,4441,4749,83,4564,76,-123,530,7
Spring,0,1,10.03,3,Blue,mid,Jensen,Team Liquid,Zoe,Rumble,Soraka,Mordekaiser,Elise,Orianna,1889,1,5,1,9,17,4,1,0,0,0,0,0,0,0,0.54,0.667,17833,566.4267,0.288038,356.9825,187.9089,9,0.2859,5,0.1588,4,20,0.6353,14071,9942,315.7861,0.245379,12850,291,263,28,16,12,9.243,4103,4698,82,3404,4525,88,699,173,-6,6077,7721,146,5327,144,750,286,2
Spring,0,1,10.03,4,Blue,bot,Doublelift,Team Liquid,Miss Fortune,Rumble,Soraka,Mordekaiser,Elise,Orianna,1889,1,6,1,8,17,4,1,0,0,0,0,0,0,0,0.54,0.667,21481,682.2975,0.34696,265.315,285.4526,13,0.4129,10,0.3176,3,53,1.6834,16796,12667,402.3399,0.312636,14850,343,295,48,16,20,10.8947,3768,3339,85,3447,2876,72,321,463,13,6634,6094,151,5928,127,706,1154,24
Spring,0,1,10.03,5,Blue,sup,CoreJJ,Team Liquid,Braum,Rumble,Soraka,Mordekaiser,Elise,Orianna,1889,1,0,1,12,17,4,0,0,0,0,0,0,0,0,0.54,0.667,3389,107.6443,0.054739,410.2806,518.2107,39,1.2388,10,0.3176,11,76,2.414,7932,3803,120.7941,0.0938597,7275,32,32,0,0,0,1.0164,2254,2604,12,1998,2249,11,256,355,1,3482,3987,22,3665,20,-183,288,2
Summer,0,1,10.12,1,Blue,top,Impact,Team Liquid,Aatrox,Yuumi,Olaf,Volibear,Nocturne,Galio,1821,0,3,4,1,8,11,0,0,0,0,0,0,0,0,0.2636,0.626,10617,349.8188,0.198686,703.9209,600.4613,17,0.5601,2,0.0659,8,27,0.8896,9821,5831,192.1252,0.203455,9650,203,185,18,7,0,6.6886,3794,5209,76,3103,4292,74,691,917,2,5163,6911,104,5003,126,160,-180,-22
