split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Spring,1,1,10.06,9,Red,bot,Cody Sun,100 Thieves,Kalista,Senna,Gragas,Pantheon,Kindred,Olaf,1683,0,1,4,1,3,21,0,0,0,0,0,0,0,0,0.107,0.8556,8829,314.7594,0.224115,351.9073,281.1408,12,0.4278,9,0.3209,3,30,1.0695,9461,5752,205.0624,0.239337,9275,241,233,8,8,0,8.5918,3035,2737,77,3957,3296,78,-922,-559,-1,4818,4854,132,6314,5460,136,-1496,-606,-4
Spring,1,1,10.06,10,Red,sup,Stunt,100 Thieves,Taric,Senna,Gragas,Pantheon,Kindred,Olaf,1683,0,0,4,1,3,21,0,0,0,0,0,0,0,0,0.107,0.8556,1810,64.5276,0.0459449,379.3583,532.8342,35,1.2478,12,0.4278,8,61,2.1747,5522,1813,64.6346,0.07544,5250,38,38,0,0,0,1.3547,2027,2704,12,2289,3097,15,-262,-393,-3,3155,4300,22,3165,4407,18,-10,-107,4
Spring,1,2,10.06,1,Blue,top,Ssumday,100 Thieves,Aatrox,Senna,Gragas,Pantheon,Zilean,Nautilus,1368,0,0,2,2,3,14,0,0,0,0,0,0,0,1,0.1316,0.7456,3481,152.6754,0.147307,602.7632,347.807,10,0.4386,1,0.0439,6,17,0.7456,6246,3180,139.4737,0.191612,5900,146,137,9,6,0,6.4035,2440,3502,48,3529,4314,66,-1089,-812,-18,3929,5703,89,6215,7097,119,-2286,-1394,-30
Spring,1,2,10.06,2,Blue,jng,Meteos,100 Thieves,Trundle,Senna,Gragas,Pantheon,Zilean,Nautilus,1368,0,1,3,1,3,14,0,0,0,0,0,0,0,0,0.1316,0.7456,2774,121.6667,0.117388,903.8596,578.8596,4,0.1754,10,0.4386,5,23,1.0088,6171,3105,136.1842,0.187092,5645,109,42,67,41,5,4.7807,2794,2903,53,3546,3571,65,-752,-668,-12,4385,4514,81,5481,5884,101,-1096,-1370,-20
Spring,1,2,10.06,3,Blue,mid,Ryoma,100 Thieves,Syndra,Senna,Gragas,Pantheon,Zilean,Nautilus,1368,0,0,2,1,3,14,0,0,0,0,0,0,0,0,0.1316,0.7456,7948,348.5965,0.336338,498.5088,210.9649,11,0.4825,1,0.0439,5,15,0.6579,7246,4180,183.3333,0.251873,7060,200,196,4,4,0,8.7719,3344,4646,93,3532,4671,85,-188,-25,8,4592,6705,124,6295,7473,115,-1703,-768,9
Spring,1,2,10.06,4,Blue,bot,Cody Sun,100 Thieves,Kog'Maw,Senna,Gragas,Pantheon,Zilean,Nautilus,1368,0,2,3,0,3,14,0,0,0,0,0,0,0,0,0.1316,0.7456,7148,313.5088,0.302484,481.1842,252.9386,9,0.3947,5,0.2193,3,17,0.7456,7643,4577,200.7456,0.275797,7150,150,150,0,0,0,6.5789,2799,2900,66,4131,3375,87,-1332,-475,-21,4313,4192,97,6352,5758,127,-2039,-1566,-30
Spring,1,2,10.06,5,Blue,sup,Stunt,100 Thieves,Braum,Senna,Gragas,Pantheon,Zilean,Nautilus,1368,0,0,4,2,3,14,0,0,0,0,0,0,0,0,0.1316,0.7456,2280,100,0.0964834,633.8158,481.0088,22,0.9649,5,0.2193,6,47,2.0614,4620,1554,68.1579,0.0936268,4400,29,29,0,0,0,1.2719,2083,2429,12,2205,2874,10,-122,-445,2,3023,3283,17,3681,4094,14,-658,-811,3
Spring,1,3,10.06,1,Blue,top,Ssumday,100 Thieves,Aatrox,Senna,Gragas,Aphelios,Olaf,Trundle,1870,0,2,3,3,6,18,0,0,0,0,0,0,0,0,0.1925,0.7701,9290,298.0749,0.24165,765.5615,650.5668,14,0.4492,10,0.3209,4,41,1.3155,10949,6859,220.0749,0.244601,10500,256,231,25,10,0,8.2139,3405,4674,75,3048,4621,77,357,53,-2,4977,7230,120,5098,7453,120,-121,-223,0
Spring,1,3,10.06,2,Blue,jng,Meteos,100 Thieves,Jarvan IV,Senna,Gragas,Aphelios,Olaf,Trundle,1870,0,2,3,3,6,18,0,0,0,0,0,0,0,0,0.1925,0.7701,4535,145.508,0.117964,799.0909,693.1444,6,0.1925,14,0.4492,7,53,1.7005,9353,5263,168.8663,0.187682,8895,152,35,117,70,6,4.877,3212,2902,57,2784,2603,50,428,299,7,4617,4459,83,4658,5045,89,-41,-586,-6
Spring,1,3,10.06,3,Blue,mid,Ryoma,100 Thieves,LeBlanc,Senna,Gragas,Aphelios,Olaf,Trundle,1870,0,1,1,2,6,18,0,0,0,0,0,0,0,0,0.1925,0.7701,11507,369.2086,0.299318,553.5401,303.8824,9,0.2888,4,0.1283,5,24,0.7701,10271,6181,198.3209,0.220421,9850,244,224,20,16,4,7.8289,3013,4043,71,3168,4610,84,-155,-567,-13,4587,6839,118,5138,7661,140,-551,-822,-22
