split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Spring,1,2,10.06,7,Red,jng,Santorin,FlyQuest,Rek'Sai,Senna,Sett,Aphelios,Gragas,LeBlanc,2078,1,4,1,6,15,3,0,0,0,0,1,0,1,0,0.4331,0.5197,13722,396.2079,0.187844,839.6246,504.7738,31,0.8951,19,0.5486,9,88,2.5409,11712,7197,207.8056,0.174305,10350,187,39,148,102,8,5.3994,3046,3038,54,2721,2747,53,325,291,1,4545,4911,92,4656,4460,86,-111,451,6
Spring,1,2,10.06,8,Red,mid,PowerOfEvil,FlyQuest,Orianna,Senna,Sett,Aphelios,Gragas,LeBlanc,2078,1,5,0,6,15,3,0,0,0,0,0,0,0,0,0.4331,0.5197,19810,571.9923,0.271184,241.5881,211.5881,14,0.4042,6,0.1732,4,32,0.924,15467,10952,316.2271,0.265244,14610,336,280,56,44,8,9.7016,3389,5008,97,3393,4699,96,-4,309,1,5497,7924,156,5254,7608,149,243,316,7
Spring,1,2,10.06,9,Red,bot,WildTurtle,FlyQuest,Xayah,Senna,Sett,Aphelios,Gragas,LeBlanc,2078,1,5,1,2,15,3,0,0,0,0,0,0,0,0,0.4331,0.5197,19733,569.769,0.27013,341.0876,223.513,14,0.4042,13,0.3754,7,42,1.2127,15143,10628,306.872,0.257397,13525,298,267,31,9,1,8.6044,3295,3573,88,3432,3715,95,-137,-142,-7,5870,5638,138,5382,5319,138,488,319,0
Spring,1,2,10.06,10,Red,sup,IgNar,FlyQuest,Rakan,Senna,Sett,Aphelios,Gragas,LeBlanc,2078,1,0,1,9,15,3,0,0,0,0,0,0,0,0,0.4331,0.5197,5167,149.1915,0.0707324,270.8085,424.2733,60,1.7324,13,0.3754,19,98,2.8296,7920,3405,98.3157,0.0824695,6625,29,29,0,0,0,0.8373,2096,2413,14,1897,2322,10,199,91,4,3534,3514,21,3353,3619,16,181,-105,5
Spring,1,3,10.06,6,Red,top,Solo,FlyQuest,Ornn,Senna,Sett,LeBlanc,Aatrox,Poppy,1337,0,0,3,3,4,15,0,0,0,0,0,0,0,0,0.1795,0.8527,9118,409.1847,0.274879,723.3209,627.5542,8,0.359,1,0.0449,2,15,0.6731,7369,4366,195.9312,0.218311,7350,176,176,0,0,0,7.8983,3259,4945,88,3420,4816,95,-161,129,-7,4902,7444,132,5378,7449,145,-476,-5,-13
Spring,1,3,10.06,7,Red,jng,Santorin,FlyQuest,Nocturne,Senna,Sett,LeBlanc,Aatrox,Poppy,1337,0,3,5,1,4,15,0,0,0,0,0,0,0,0,0.1795,0.8527,8119,364.353,0.244762,873.074,436.8287,9,0.4039,7,0.3141,6,27,1.2117,7271,4268,191.5333,0.213411,6875,121,17,104,83,0,5.4301,3136,3746,65,3030,3129,59,106,617,6,4589,5017,84,4962,5201,82,-373,-184,2
Spring,1,3,10.06,8,Red,mid,PowerOfEvil,FlyQuest,Corki,Senna,Sett,LeBlanc,Aatrox,Poppy,1337,0,1,1,1,4,15,0,0,0,0,0,0,0,1,0.1795,0.8527,10242,459.626,0.308764,403.4405,234.8841,7,0.3141,0,0,1,12,0.5385,8341,5338,239.5512,0.266915,8533,191,170,21,19,0,8.5714,2661,3813,56,3968,4951,91,-1307,-1138,-35,4452,6630,109,6773,8420,149,-2321,-1790,-40
Spring,1,3,10.06,9,Red,bot,WildTurtle,FlyQuest,Kalista,Senna,Sett,LeBlanc,Aatrox,Poppy,1337,0,0,3,2,4,15,0,0,0,0,0,0,0,0,0.1795,0.8527,3654,163.9791,0.110156,367.8983,225.3254,7,0.3141,2,0.0898,3,16,0.718,7311,4308,193.3283,0.215411,7200,181,177,4,0,4,8.1227,3252,3420,89,3315,3474,90,-63,-54,-1,4663,4962,120,6101,5872,139,-1438,-910,-19
Spring,1,3,10.06,10,Red,sup,IgNar,FlyQuest,Pyke,Senna,Sett,LeBlanc,Aatrox,Poppy,1337,0,0,3,0,4,15,0,0,0,0,0,0,0,0,0.1795,0.8527,2038,91.4585,0.0614392,378.6238,202.9319,49,2.199,15,0.6731,9,81,3.635,4722,1719,77.1429,0.085952,4125,36,36,0,0,0,1.6156,2001,2280,12,2077,2494,13,-76,-214,-1,2987,3347,21,4282,4176,25,-1295,-829,-4
Spring,1,4,10.06,1,Blue,top,Solo,FlyQuest,Aatrox,LeBlanc,Senna,Tahm Kench,Yasuo,Zoe,2338,1,3,2,4,17,8,0,0,0,0,0,0,0,0,0.4363,0.6416,12904,331.1548,0.163877,912.1386,1214.2943,21,0.5389,7,0.1796,8,47,1.2062,17227,12182,312.6262,0.232162,17160,342,315,27,7,9,8.7767,3593,4674,88,3091,4554,78,502,120,10,5877,8131,151,4520,6937,118,1357,1194,33
